k,seed,construction,method,worst_case,reduced_cost,cost_ratio,cost_diff,regret,lol_reduced,lol_full,relative_wc_weight,percentage,avg_weight_normal,avg_weight_wc,max_weight_normal,max_weight_wc,avg_local_wc_dist,inv_cost_reduced,fixed_inv_cost_reduced,inv_cost_ref,fixed_inv_cost_ref,inv_ccgt,inv_solar,inv_ocgt,inv_wind,inv_wind_offshore,inv_battery,inv_electrolizer,clustering_time
300,1,2,kmedoids_dirac_no_wc_2,no_wc,542.4363121898908,1.0311315123818974,16.377021327106945,3.1131512381897446,16,3,0.0,0.0,3.65,0.0,14.0,0.0,0.0,317.0238977842214,63.692612005004584,323.87764369362117,64.70319207412541,1.0018260342038896,2.1624356949120216,0.2811104747673602,3.3259709887634967,0.0,1.285740897456149,1.0162411501679192,2.8767987
300,2,2,kmedoids_dirac_no_wc_2,no_wc,526.7961925026356,1.0014007957898492,0.7369016398516806,0.14007957898492707,1,3,0.0,0.0,3.65,0.0,16.0,0.0,0.0,323.8849458574783,63.703967813701354,323.87764369362117,64.70319207412541,1.002311284356311,2.2889012746914963,1.1422763238163927,3.1729100441343245,0.0,1.4330818179835318,1.007882359940485,3.6364
300,3,2,kmedoids_dirac_no_wc_2,no_wc,536.2603759584911,1.019391512084078,10.201085095707185,1.9391512084078015,17,3,0.0,0.0,3.65,0.0,23.0,0.0,0.0,319.2326089307582,63.67511085489737,323.87764369362117,64.70319207412541,0.9835076361650923,2.250795427763672,0.44996786717682213,3.2973284345969023,0.0,1.4958033800776926,1.016275593251298,1.9372227
350,1,2,kmedoids_dirac_no_wc_2,no_wc,547.0661307406849,1.0399324567454136,21.00683987790103,3.993245674541353,13,3,0.0,0.0,3.1285714285714286,0.0,13.0,0.0,0.0,316.12023770417676,63.126559742958435,323.87764369362117,64.70319207412541,1.0001537080529095,2.192387876838312,0.48207604853186536,3.231188914957561,0.0,1.4035087719298245,1.0118575963612326,2.2854952
350,2,2,kmedoids_dirac_no_wc_2,no_wc,526.6944326773622,1.0012073578503606,0.6351418145783327,0.12073578503606387,2,3,0.0,0.0,3.1285714285714286,0.0,13.0,0.0,0.0,323.55229685571686,63.67754536815418,323.87764369362117,64.70319207412541,1.0047948398819913,2.284347891596515,1.1086716654315565,3.1730788356378574,0.0,1.3937795762991347,1.0080585591736357,2.4409198
350,3,2,kmedoids_dirac_no_wc_2,no_wc,533.4125302361504,1.01397796693469,7.353239373366478,1.3977966934690027,16,3,0.0,0.0,3.1285714285714286,0.0,14.0,0.0,0.0,315.4497806282166,62.622034952424976,323.87764369362117,64.70319207412541,1.0098287355922266,2.3257990703184013,0.30652553783021913,3.1283518108119734,0.0,1.4595569719241142,1.0165581342582535,2.8253552
4,1,2,kmedoids_convex_no_wc_2,no_wc,6485.2195676105075,12.32792516024985,5959.160276747723,1132.792516024985,1157,3,0.0,0.0,273.75,0.0,487.4363812636265,0.0,0.0,336.08735589966915,68.02021540371872,323.87764369362117,64.70319207412541,0.5932786627072899,2.3016425580144957,0.0,4.57789411322825,0.0,1.0526315789473684,1.1033694658969992,0.9334926
4,2,2,kmedoids_convex_no_wc_2,no_wc,4711.257271364567,8.955753378364799,4185.197980501783,795.5753378364798,830,3,0.0,0.0,273.75,0.0,369.62720877082955,0.0,0.0,335.8533288799034,65.85229933721774,323.87764369362117,64.70319207412541,0.6571807841131545,2.765828992543269,0.0,4.040903006981196,0.0,1.0597771768077413,1.1828671214206927,0.5538448
4,3,2,kmedoids_convex_no_wc_2,no_wc,4041.239032248574,7.682098011462897,3515.1797413857903,668.2098011462898,544,3,0.0,0.0,273.75,0.0,336.2088354721658,0.0,0.0,352.6145221121427,70.58688941297373,323.87764369362117,64.70319207412541,0.6663830278536813,2.614768579135693,0.0,4.568572618370098,0.0,1.268498344504585,1.0908593907607889,0.5756093
6,1,2,kmedoids_convex_no_wc_2,no_wc,5349.334597074994,10.1686914193676,4823.27530621221,916.8691419367598,960,3,0.0,0.0,182.5,0.0,335.1103389000139,0.0,0.0,343.9174059294329,68.75938153547864,323.87764369362117,64.70319207412541,0.6216323552417878,2.5382455936115127,0.0,4.518868090856834,0.0,0.8421052631578947,1.1240272901317288,0.6733302
